Statistic Label,Year,County,Species,Forest Owner,UNIT,VALUE
Afforestation Area,2007,Co. Westmeath,Broadleaf,Farmer,Hectares,43.0
Afforestation Area,2007,Co. Westmeath,Broadleaf,Non-Farmer,Hectares,0.0
Afforestation Area,2007,Co. Westmeath,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Westmeath,Conifer,Total Afforestation,Hectares,97.0
Afforestation Area,2007,Co. Westmeath,Conifer,Farmer,Hectares,87.0
Afforestation Area,2007,Co. Westmeath,Conifer,Non-Farmer,Hectares,10.0
Afforestation Area,2007,Co. Westmeath,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Wexford,Total Afforestation,Total Afforestation,Hectares,178.0
Afforestation Area,2007,Co. Wexford,Total Afforestation,Farmer,Hectares,160.0
Afforestation Area,2007,Co. Wexford,Total Afforestation,Non-Farmer,Hectares,18.0
Afforestation Area,2007,Co. Wexford,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Wexford,Broadleaf,Total Afforestation,Hectares,82.0
Afforestation Area,2007,Co. Wexford,Broadleaf,Farmer,Hectares,70.0
Afforestation Area,2007,Co. Wexford,Broadleaf,Non-Farmer,Hectares,11.0
Afforestation Area,2007,Co. Wexford,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Wexford,Conifer,Total Afforestation,Hectares,96.0
Afforestation Area,2007,Co. Wexford,Conifer,Farmer,Hectares,90.0
Afforestation Area,2007,Co. Wexford,Conifer,Non-Farmer,Hectares,6.0
Afforestation Area,2007,Co. Wexford,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Co. Wicklow,Total Afforestation,Total Afforestation,Hectares,89.0
Afforestation Area,2007,Co. Wicklow,Total Afforestation,Farmer,Hectares,43.0
Afforestation Area,2007,Co. Wicklow,Total Afforestation,Non-Farmer,Hectares,47.0
Afforestation Area,2007,Co. Wicklow,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Co. Wicklow,Broadleaf,Total Afforestation,Hectares,18.0
Afforestation Area,2007,Co. Wicklow,Broadleaf,Farmer,Hectares,10.0
Afforestation Area,2007,Co. Wicklow,Broadleaf,Non-Farmer,Hectares,8.0
Afforestation Area,2007,Co. Wicklow,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Co. Wicklow,Conifer,Total Afforestation,Hectares,72.0
Afforestation Area,2007,Co. Wicklow,Conifer,Farmer,Hectares,33.0
Afforestation Area,2007,Co. Wicklow,Conifer,Non-Farmer,Hectares,38.0
Afforestation Area,2007,Co. Wicklow,Conifer,Public Sector,Hectares,
Afforestation Area,2007,Ireland,Total Afforestation,Total Afforestation,Hectares,6947.0
Afforestation Area,2007,Ireland,Total Afforestation,Farmer,Hectares,6469.0
Afforestation Area,2007,Ireland,Total Afforestation,Non-Farmer,Hectares,478.0
Afforestation Area,2007,Ireland,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2007,Ireland,Broadleaf,Total Afforestation,Hectares,2182.0
Afforestation Area,2007,Ireland,Broadleaf,Farmer,Hectares,2048.0
Afforestation Area,2007,Ireland,Broadleaf,Non-Farmer,Hectares,134.0
Afforestation Area,2007,Ireland,Broadleaf,Public Sector,Hectares,
Afforestation Area,2007,Ireland,Conifer,Total Afforestation,Hectares,4765.0
Afforestation Area,2007,Ireland,Conifer,Farmer,Hectares,4421.0
Afforestation Area,2007,Ireland,Conifer,Non-Farmer,Hectares,344.0
Afforestation Area,2007,Ireland,Conifer,Public Sector,Hectares,
Afforestation Area,2008,Co. Carlow,Total Afforestation,Total Afforestation,Hectares,49.0
Afforestation Area,2008,Co. Carlow,Total Afforestation,Farmer,Hectares,49.0
Afforestation Area,2008,Co. Carlow,Total Afforestation,Non-Farmer,Hectares,
Afforestation Area,2008,Co. Carlow,Total Afforestation,Public Sector,Hectares,
Afforestation Area,2008,Co. Carlow,Broadleaf,Total Afforestation,Hectares,10.0
Afforestation Area,2008,Co. Carlow,Broadleaf,Farmer,Hectares,10.0
Afforestation Area,2008,Co. Carlow,Broadleaf,Non-Farmer,Hectares,
Afforestation Area,2008,Co. Carlow,Broadleaf,Public Sector,Hectares,
Afforestation Area,2008,Co. Carlow,Conifer,Total Afforestation,Hectares,39.0
Afforestation Area,2008,Co. Carlow,Conifer,Farmer,Hectares,39.0
Afforestation Area,2008,Co. Carlow,Conifer,Non-Farmer,Hectares,
Afforestation Area,2008,Co. Carlow,Conifer,Public Sector,Hectares,
Afforestation Area,2008,Co. Cavan,Total Afforestation,Total Afforestation,Hectares,197.0
Afforestation Area,2008,Co. Cavan,Total Afforestation,Farmer,Hectares,196.0
Afforestation Area,2008,Co. Cavan,Total Afforestation,Non-Farmer,Hectares,1.0
Afforestation Area,2008,Co. Cavan,Total Afforestation,Public Sector,Hectares,
